dt,atm_id,region,total_withdrawn_amount_kwd,total_withdraw_txn_count,total_deposited_amount_kwd,total_deposit_txn_count,reported_dt,dup_flag
2020-01-24,ATM_0171,Kuwait City,1035.16,38,29.43,5,2020-01-24,false
2020-01-24,ATM_0230,Ahmadi,1457.93,53,28.44,4,2020-01-24,false
2020-01-24,ATM_0249,Ahmadi,1194.54,49,21.67,4,2020-01-24,false
2020-01-25,ATM_0023,Kuwait City,1538.48,59,20.51,4,2020-01-25,false
2020-01-25,ATM_0104,Farwaniya,1277.86,43,19.58,3,2020-01-25,false
2020-01-25,ATM_0171,Kuwait City,1195.03,44,16.8,3,2020-01-25,false
2020-01-25,ATM_0230,Ahmadi,1533.11,52,20.81,3,2020-01-25,false
2020-01-25,ATM_0249,Ahmadi,1455.15,50,15.24,3,2020-01-25,false
2020-01-26,ATM_0104,Farwaniya,1214.49,42,20.46,4,2020-01-26,false
2020-01-26,ATM_0165,Kuwait City,1205.53,44,16.96,2,2020-01-26,false
2020-01-26,ATM_0171,Kuwait City,1169.81,34,11.07,1,2020-01-26,false
2020-01-26,ATM_0230,Ahmadi,1485.32,49,31.85,5,2020-01-26,false
2020-01-26,ATM_0249,Ahmadi,1159.35,48,10.0,2,2020-01-26,false
2020-01-27,ATM_0023,Kuwait City,1295.35,51,22.91,3,2020-01-27,false
2020-01-27,ATM_0104,Farwaniya,1477.25,52,34.26,6,2020-01-27,false
2020-01-27,ATM_0165,Kuwait City,863.31,35,32.72,5,2020-01-27,false
2020-01-27,ATM_0171,Kuwait City,1025.41,36,27.49,4,2020-01-27,false
2020-01-27,ATM_0230,Ahmadi,1573.51,55,38.22,4,2020-01-27,false
2020-01-27,ATM_0249,Ahmadi,1291.69,48,15.62,3,2020-01-27,false
2020-01-28,ATM_0023,Kuwait City,1143.59,48,14.22,2,2020-01-30,false
2020-01-28,ATM_0104,Farwaniya,1219.29,41,10.0,2,2020-01-28,false
2020-01-28,ATM_0165,Kuwait City,694.98,24,17.84,2,2020-01-28,false
2020-01-28,ATM_0171,Kuwait City,871.35,31,10.0,2,2020-01-28,false
2020-01-28,ATM_0230,Ahmadi,1404.02,44,27.47,5,2020-01-28,false
2020-01-28,ATM_0249,Ahmadi,1298.45,47,30.11,3,2020-01-28,false
2020-01-29,ATM_0023,Kuwait City,1566.16,61,15.59,3,2020-01-29,false
2020-01-29,ATM_0104,Farwaniya,1248.14,43,17.33,3,2020-01-29,false
2020-01-29,ATM_0165,Kuwait City,970.85,30,6.16,1,2020-01-29,false
2020-01-29,ATM_0171,Kuwait City,1018.81,36,10.0,2,2020-01-29,false
2020-01-29,ATM_0230,Ahmadi,1550.72,52,20.72,3,2020-01-29,false
2020-01-29,ATM_0249,Ahmadi,1061.06,42,30.09,4,2020-01-29,false
2020-01-30,ATM_0023,Kuwait City,1062.41,42,10.0,2,2020-01-30,false
2020-01-30,ATM_0104,Farwaniya,698.88,30,0.0,0,2020-01-30,false
2020-01-30,ATM_0165,Kuwait City,908.48,35,17.0,3,2020-01-30,false
2020-01-30,ATM_0171,Kuwait City,875.64,31,10.0,2,2020-01-30,false
2020-01-30,ATM_0230,Ahmadi,1129.64,49,23.32,4,2020-01-30,false
2020-01-30,ATM_0249,Ahmadi,950.6,37,20.87,3,2020-01-30,false
2020-01-31,ATM_0023,Kuwait City,1401.9,49,15.91,2,2020-01-31,false
2020-01-31,ATM_0104,Farwaniya,1371.78,43,8.17,1,2020-01-31,false
2020-01-31,ATM_0165,Kuwait City,1214.01,39,15.52,3,2020-01-31,false
2020-01-31,ATM_0171,Kuwait City,1008.97,31,20.0,4,2020-01-31,false
2020-01-31,ATM_0230,Ahmadi,993.35,40,20.48,3,2020-01-31,false
2020-01-31,ATM_0249,Ahmadi,1247.0,49,17.39,3,2020-01-31,false
2020-02-01,ATM_0023,Kuwait City,1008.01,40,15.81,2,2020-02-01,false
2020-02-01,ATM_0104,Farwaniya,1553.13,49,15.77,3,2020-02-01,false
2020-02-01,ATM_0165,Kuwait City,917.99,36,13.49,1,2020-02-01,false
2020-02-01,ATM_0171,Kuwait City,970.45,32,21.18,3,2020-02-01,false
2020-02-01,ATM_0230,Ahmadi,1405.25,48,21.49,3,2020-02-01,false
2020-02-01,ATM_0249,Ahmadi,989.55,43,28.97,5,2020-02-01,false
2020-02-02,ATM_0023,Kuwait City,1319.97,48,9.31,1,2020-02-02,false
2020-02-02,ATM_0104,Farwaniya,1192.29,43,23.97,3,2020-02-02,false
2020-02-02,ATM_0165,Kuwait City,983.25,32,5.0,1,2020-02-02,false
2020-02-02,ATM_0171,Kuwait City,724.45,27,5.0,1,2020-02-02,false
2020-02-02,ATM_0230,Ahmadi,1553.27,57,45.29,6,2020-02-04,false
2020-02-02,ATM_0249,Ahmadi,865.07,32,5.0,1,2020-02-02,false
2020-02-03,ATM_0023,Kuwait City,1059.05,45,5.0,1,2020-02-03,false
2020-02-03,ATM_0104,Farwaniya,1313.8,50,41.3,5,2020-02-03,false
2020-02-03,ATM_0165,Kuwait City,956.0,32,5.0,1,2020-02-03,false
2020-02-03,ATM_0171,Kuwait City,844.51,26,18.74,2,2020-02-03,false
2020-02-03,ATM_0230,Ahmadi,1622.76,53,23.87,4,2020-02-03,false
2020-02-03,ATM_0249,Ahmadi,1505.0,55,28.8,5,2020-02-03,false
2020-02-04,ATM_0023,Kuwait City,1169.24,43,21.23,4,2020-02-04,false
2020-02-04,ATM_0104,Farwaniya,664.35,22,0.0,0,2020-02-04,false
2020-02-04,ATM_0165,Kuwait City,716.75,28,19.38,3,2020-02-04,false
2020-02-04,ATM_0171,Kuwait City,913.63,35,22.25,3,2020-02-04,false
2020-02-04,ATM_0230,Ahmadi,1483.26,53,8.72,1,2020-02-04,false
2020-02-04,ATM_0249,Ahmadi,1149.39,39,25.63,5,2020-02-04,false
2020-02-05,ATM_0023,Kuwait City,1303.87,49,29.86,4,2020-02-05,false
2020-02-05,ATM_0104,Farwaniya,986.45,41,7.32,1,2020-02-05,false
2020-02-05,ATM_0165,Kuwait City,1096.99,34,38.34,5,2020-02-05,false
2020-02-05,ATM_0171,Kuwait City,1240.9,45,46.26,5,2020-02-05,false
2020-02-05,ATM_0230,Ahmadi,1321.55,46,10.68,2,2020-02-05,false
2020-02-05,ATM_0249,Ahmadi,1339.74,52,24.04,4,2020-02-05,false
2020-02-06,ATM_0023,Kuwait City,1016.89,40,36.44,5,2020-02-06,false
2020-02-06,ATM_0104,Farwaniya,1335.85,46,28.18,4,2020-02-06,false
2020-02-06,ATM_0165,Kuwait City,855.66,28,15.0,3,2020-02-06,false
2020-02-06,ATM_0171,Kuwait City,911.61,34,5.0,1,2020-02-06,false
2020-02-06,ATM_0230,Ahmadi,1508.87,57,25.0,5,2020-02-06,false
2020-02-06,ATM_0249,Ahmadi,863.39,36,20.11,4,2020-02-06,false
2020-02-07,ATM_0023,Kuwait City,899.35,30,15.0,3,2020-02-07,false
2020-02-07,ATM_0104,Farwaniya,1252.71,45,21.58,3,2020-02-07,false
2020-02-07,ATM_0165,Kuwait City,671.75,20,5.0,1,2020-02-07,false
2020-02-07,ATM_0171,Kuwait City,661.31,25,6.99,1,2020-02-07,false
2020-02-07,ATM_0230,Ahmadi,1201.23,46,24.61,2,2020-02-07,false
2020-02-07,ATM_0249,Ahmadi,887.04,37,13.83,2,2020-02-07,false
2020-02-08,ATM_0023,Kuwait City,935.85,41,16.15,3,2020-02-08,false
2020-02-08,ATM_0104,Farwaniya,1412.83,51,29.0,3,2020-02-08,false
2020-02-08,ATM_0165,Kuwait City,696.58,24,0.0,0,2020-02-08,false
2020-02-08,ATM_0171,Kuwait City,1314.88,41,10.77,2,2020-02-08,false
2020-02-08,ATM_0230,Ahmadi,1378.13,43,26.64,3,2020-02-08,false
2020-02-08,ATM_0249,Ahmadi,964.37,41,20.49,3,2020-02-08,false
2020-02-09,ATM_0023,Kuwait City,739.56,31,10.19,2,2020-02-09,false
2020-02-09,ATM_0104,Farwaniya,875.5,34,22.34,3,2020-02-09,false
2020-02-09,ATM_0165,Kuwait City,985.56,33,0.0,0,2020-02-09,false
2020-02-09,ATM_0171,Kuwait City,650.86,27,11.01,2,2020-02-09,false
2020-02-09,ATM_0230,Ahmadi,1285.17,46,20.95,4,2020-02-09,false
2020-02-09,ATM_0249,Ahmadi,991.51,43,20.19,3,2020-02-09,false
2020-02-10,ATM_0023,Kuwait City,1193.44,47,29.0,3,2020-02-12,false
2020-02-10,ATM_0104,Farwaniya,883.77,35,17.76,3,2020-02-10,false
2020-02-10,ATM_0165,Kuwait City,669.38,21,0.0,0,2020-02-10,false
2020-02-10,ATM_0171,Kuwait City,1174.67,41,10.0,2,2020-02-10,false
2020-02-10,ATM_0230,Ahmadi,1365.52,43,8.0,1,2020-02-10,false
2020-02-10,ATM_0249,Ahmadi,981.78,37,17.03,3,2020-02-10,false
2020-02-11,ATM_0023,Kuwait City,1204.83,44,31.17,4,2020-02-11,false
2020-02-11,ATM_0104,Farwaniya,1200.34,38,16.43,3,2020-02-11,false
2020-02-11,ATM_0165,Kuwait City,760.88,27,0.0,0,2020-02-11,false
2020-02-11,ATM_0171,Kuwait City,963.94,34,6.81,1,2020-02-11,false
2020-02-11,ATM_0230,Ahmadi,1473.35,58,38.72,5,2020-02-11,false
2020-02-11,ATM_0249,Ahmadi,1112.85,45,17.21,3,2020-02-11,false
2020-02-12,ATM_0023,Kuwait City,1036.96,39,10.6,2,2020-02-12,false
2020-02-12,ATM_0104,Farwaniya,987.91,39,10.0,2,2020-02-12,false
2020-02-12,ATM_0171,Kuwait City,999.7,29,0.0,0,2020-02-12,false
2020-02-12,ATM_0225,Farwaniya,576.29,22,10.0,2,2020-02-12,false
2020-02-12,ATM_0249,Ahmadi,840.78,35,22.49,3,2020-02-12,false
2020-02-13,ATM_0023,Kuwait City,1001.47,41,10.0,2,2020-02-13,false
2020-02-13,ATM_0104,Farwaniya,1016.53,37,16.86,3,2020-02-13,false
2020-02-13,ATM_0165,Kuwait City,887.9,27,30.33,3,2020-02-13,false
2020-02-13,ATM_0171,Kuwait City,661.04,26,25.97,3,2020-02-13,false
2020-02-13,ATM_0225,Farwaniya,739.96,27,7.61,1,2020-02-13,false
2020-02-13,ATM_0230,Ahmadi,1224.03,45,43.72,5,2020-02-13,false
2020-02-13,ATM_0249,Ahmadi,1094.67,43,12.83,2,2020-02-13,false
2020-02-14,ATM_0023,Kuwait City,1050.71,39,5.0,1,2020-02-14,false
2020-02-14,ATM_0104,Farwaniya,1332.78,44,7.59,1,2020-02-14,false
2020-02-14,ATM_0165,Kuwait City,758.93,25,10.0,2,2020-02-14,false
2020-02-14,ATM_0171,Kuwait City,652.06,27,20.94,4,2020-02-14,false
2020-02-14,ATM_0225,Farwaniya,1043.08,35,15.0,3,2020-02-14,false
2020-02-14,ATM_0230,Ahmadi,1368.92,45,34.95,5,2020-02-14,false
2020-02-14,ATM_0249,Ahmadi,1187.46,45,40.27,4,2020-02-14,false
2020-02-15,ATM_0023,Kuwait City,881.07,39,5.0,1,2020-02-15,false
2020-02-15,ATM_0104,Farwaniya,1000.1,31,11.59,2,2020-02-15,false
2020-02-15,ATM_0165,Kuwait City,843.95,32,13.51,2,2020-02-15,false
2020-02-15,ATM_0171,Kuwait City,871.11,33,21.53,3,2020-02-15,false
2020-02-15,ATM_0225,Farwaniya,597.91,20,14.02,2,2020-02-15,false
2020-02-15,ATM_0230,Ahmadi,1335.73,49,24.56,4,2020-02-15,false
2020-02-15,ATM_0249,Ahmadi,1113.43,38,16.46,3,2020-02-15,false
2020-02-16,ATM_0104,Farwaniya,867.6,33,5.0,1,2020-02-16,false
2020-02-16,ATM_0165,Kuwait City,553.09,17,5.0,1,2020-02-16,false
2020-02-16,ATM_0171,Kuwait City,935.18,35,5.0,1,2020-02-16,false
2020-02-16,ATM_0225,Farwaniya,672.61,25,28.68,4,2020-02-16,false
2020-02-16,ATM_0230,Ahmadi,1471.35,51,10.0,2,2020-02-16,false
2020-02-16,ATM_0249,Ahmadi,824.15,33,5.0,1,2020-02-16,false
2020-02-17,ATM_0023,Kuwait City,1092.85,44,21.52,3,2020-02-17,false
2020-02-17,ATM_0104,Farwaniya,1360.77,46,15.71,3,2020-02-17,false
2020-02-17,ATM_0117,Kuwait City,1028.9,31,8.99,1,2020-02-17,false
2020-02-17,ATM_0165,Kuwait City,658.19,27,5.0,1,2020-02-17,false
2020-02-17,ATM_0171,Kuwait City,857.6,38,23.54,4,2020-02-17,false
2020-02-17,ATM_0225,Farwaniya,395.08,17,0.0,0,2020-02-17,false
2020-02-17,ATM_0230,Ahmadi,1257.61,52,23.44,4,2020-02-17,false
2020-02-17,ATM_0249,Ahmadi,1145.23,40,31.1,4,2020-02-17,false
2020-02-18,ATM_0023,Kuwait City,1250.12,47,20.02,4,2020-02-18,false
2020-02-18,ATM_0104,Farwaniya,1461.24,45,34.43,6,2020-02-18,false
2020-02-18,ATM_0117,Kuwait City,1332.96,39,32.97,3,2020-02-18,false
2020-02-18,ATM_0165,Kuwait City,611.63,25,36.49,4,2020-02-18,false
2020-02-18,ATM_0171,Kuwait City,754.43,25,0.0,0,2020-02-18,false
2020-02-18,ATM_0216,Hawalli,840.95,34,11.61,2,2020-02-18,false
2020-02-18,ATM_0225,Farwaniya,1051.39,32,25.46,3,2020-02-18,false
2020-02-18,ATM_0230,Ahmadi,1639.95,69,24.38,4,2020-02-18,false
2020-02-18,ATM_0249,Ahmadi,806.66,32,11.2,2,2020-02-18,false
2020-02-19,ATM_0023,Kuwait City,1114.57,41,16.85,2,2020-02-19,false
2020-02-19,ATM_0104,Farwaniya,1055.93,40,8.12,1,2020-02-19,false
2020-02-19,ATM_0117,Kuwait City,1046.9,34,5.0,1,2020-02-19,false
2020-02-19,ATM_0165,Kuwait City,758.27,24,0.0,0,2020-02-19,false
2020-02-19,ATM_0171,Kuwait City,966.97,35,5.0,1,2020-02-19,false
2020-02-19,ATM_0216,Hawalli,1074.48,40,33.71,3,2020-02-19,false
2020-02-19,ATM_0225,Farwaniya,972.4,27,10.0,2,2020-02-19,false
2020-02-19,ATM_0230,Ahmadi,1568.98,54,16.78,2,2020-02-19,false
2020-02-19,ATM_0249,Ahmadi,1046.15,35,27.19,3,2020-02-19,false
2020-02-20,ATM_0023,Kuwait City,1039.08,42,21.04,2,2020-02-22,false
2020-02-20,ATM_0104,Farwaniya,1115.67,41,27.49,3,2020-02-20,false
2020-02-20,ATM_0117,Kuwait City,1199.13,34,23.91,3,2020-02-20,false
2020-02-20,ATM_0165,Kuwait City,1101.13,36,23.9,4,2020-02-20,false
2020-02-20,ATM_0171,Kuwait City,1152.37,37,25.46,3,2020-02-20,false
2020-02-20,ATM_0216,Hawalli,1050.35,34,5.0,1,2020-02-20,false
2020-02-20,ATM_0225,Farwaniya,880.6,30,11.37,2,2020-02-20,false
2020-02-20,ATM_0230,Ahmadi,1556.04,61,42.76,7,2020-02-20,false
2020-02-20,ATM_0249,Ahmadi,1277.03,51,28.01,4,2020-02-20,false
2020-02-21,ATM_0023,Kuwait City,1231.3,48,11.77,2,2020-02-21,false
2020-02-21,ATM_0104,Farwaniya,1134.06,40,5.0,1,2020-02-21,false
2020-02-21,ATM_0117,Kuwait City,1013.1,36,17.62,3,2020-02-21,false
2020-02-21,ATM_0165,Kuwait City,1234.43,42,21.54,4,2020-02-21,false
2020-02-21,ATM_0171,Kuwait City,1158.85,43,18.67,3,2020-02-21,false
2020-02-21,ATM_0216,Hawalli,807.65,33,17.87,3,2020-02-21,false
2020-02-21,ATM_0225,Farwaniya,1008.92,39,22.38,3,2020-02-21,false
2020-02-21,ATM_0230,Ahmadi,1926.48,71,27.8,5,2020-02-21,false
2020-02-21,ATM_0249,Ahmadi,1353.21,53,22.64,4,2020-02-21,false
2020-02-22,ATM_0023,Kuwait City,916.69,36,10.0,2,2020-02-22,false
2020-02-22,ATM_0104,Farwaniya,1502.72,54,28.27,4,2020-02-22,false
2020-02-22,ATM_0117,Kuwait City,1710.52,51,46.93,6,2020-02-22,false
2020-02-22,ATM_0165,Kuwait City,863.26,31,13.85,2,2020-02-22,false
2020-02-22,ATM_0171,Kuwait City,1106.74,39,23.95,3,2020-02-22,false
2020-02-22,ATM_0216,Hawalli,1054.77,39,40.83,5,2020-02-23,false
2020-02-22,ATM_0225,Farwaniya,1284.75,41,23.87,2,2020-02-22,false
2020-02-22,ATM_0230,Ahmadi,2152.69,71,28.3,5,2020-02-22,false
2020-02-22,ATM_0249,Ahmadi,1128.02,45,15.58,3,2020-02-22,false
2020-02-23,ATM_0023,Kuwait City,1112.14,45,29.01,4,2020-02-23,false
2020-02-23,ATM_0104,Farwaniya,1613.57,54,30.4,5,2020-02-23,false
2020-02-23,ATM_0117,Kuwait City,1238.29,35,22.96,3,2020-02-23,false
2020-02-23,ATM_0165,Kuwait City,814.6,30,22.86,2,2020-02-23,false
2020-02-23,ATM_0171,Kuwait City,915.59,38,13.81,2,2020-02-23,false
2020-02-23,ATM_0216,Hawalli,976.43,42,37.53,4,2020-02-25,false
2020-02-23,ATM_0225,Farwaniya,959.98,36,10.69,2,2020-02-23,false
2020-02-23,ATM_0230,Ahmadi,1920.25,61,26.15,3,2020-02-23,false
2020-02-23,ATM_0249,Ahmadi,1156.73,42,21.77,3,2020-02-23,false
2020-02-24,ATM_0023,Kuwait City,1294.73,48,15.0,3,2020-02-24,false
2020-02-24,ATM_0104,Farwaniya,1398.16,45,20.0,4,2020-02-24,false
2020-02-24,ATM_0117,Kuwait City,1300.9,41,5.0,1,2020-02-24,false
2020-02-24,ATM_0165,Kuwait City,927.43,35,14.39,2,2020-02-24,false
2020-02-24,ATM_0171,Kuwait City,1085.18,37,25.71,4,2020-02-24,false
2020-02-24,ATM_0216,Hawalli,1186.53,45,5.0,1,2020-02-24,false
2020-02-24,ATM_0225,Farwaniya,851.71,39,10.0,2,2020-02-24,false
2020-02-24,ATM_0249,Ahmadi,872.31,31,5.0,1,2020-02-24,false
2020-02-25,ATM_0023,Kuwait City,1761.37,67,35.44,6,2020-02-25,false
2020-02-25,ATM_0104,Farwaniya,1365.31,41,38.24,4,2020-02-25,false
2020-02-25,ATM_0117,Kuwait City,2016.12,54,42.38,3,2020-02-25,false
2020-02-25,ATM_0165,Kuwait City,1137.13,43,5.0,1,2020-02-25,false
2020-02-25,ATM_0171,Kuwait City,710.42,30,5.0,1,2020-02-25,false
2020-02-25,ATM_0216,Hawalli,1431.86,56,22.33,3,2020-02-25,false
2020-02-25,ATM_0225,Farwaniya,1480.75,53,10.0,2,2020-02-25,false
2020-02-25,ATM_0230,Ahmadi,2047.42,78,31.42,6,2020-02-25,false
2020-02-25,ATM_0249,Ahmadi,1577.4,67,34.66,5,2020-02-25,false
2020-02-26,ATM_0023,Kuwait City,1547.53,64,33.54,4,2020-02-26,false
2020-02-26,ATM_0104,Farwaniya,1316.19,45,32.77,3,2020-02-26,false
2020-02-26,ATM_0117,Kuwait City,1871.97,50,30.9,4,2020-02-26,false
2020-02-26,ATM_0165,Kuwait City,1097.27,36,11.99,2,2020-02-26,false
2020-02-26,ATM_0171,Kuwait City,1072.59,40,24.94,3,2020-02-26,false
2020-02-26,ATM_0216,Hawalli,1178.12,47,27.79,4,2020-02-26,false
2020-02-26,ATM_0225,Farwaniya,1045.41,33,5.0,1,2020-02-26,false
2020-02-26,ATM_0230,Ahmadi,1496.77,58,42.18,5,2020-02-26,false
2020-02-26,ATM_0249,Ahmadi,1516.0,65,21.87,4,2020-02-26,false
2020-02-27,ATM_0023,Kuwait City,1550.81,58,22.77,3,2020-02-27,false
2020-02-27,ATM_0104,Farwaniya,1094.25,43,15.86,3,2020-02-27,false
2020-02-27,ATM_0117,Kuwait City,1107.27,35,17.18,3,2020-02-27,false
2020-02-27,ATM_0165,Kuwait City,977.37,36,14.24,2,2020-02-27,false
2020-02-27,ATM_0171,Kuwait City,984.39,31,5.0,1,2020-02-27,false
2020-02-27,ATM_0216,Hawalli,797.36,31,11.64,2,2020-02-27,false
2020-02-27,ATM_0225,Farwaniya,1022.61,38,20.65,3,2020-02-27,false
2020-02-27,ATM_0230,Ahmadi,1933.19,59,15.0,3,2020-02-27,false
2020-02-27,ATM_0249,Ahmadi,980.51,42,21.31,3,2020-02-27,false
2020-02-28,ATM_0023,Kuwait City,813.69,36,5.0,1,2020-02-28,false
2020-02-28,ATM_0104,Farwaniya,1478.55,45,23.49,4,2020-02-28,false
2020-02-28,ATM_0117,Kuwait City,1074.99,34,36.88,3,2020-02-28,false
2020-02-28,ATM_0171,Kuwait City,957.53,32,10.0,2,2020-02-28,false
2020-02-28,ATM_0216,Hawalli,857.04,34,8.27,1,2020-02-28,false
2020-02-28,ATM_0230,Ahmadi,1242.25,49,48.24,5,2020-02-28,false
2020-02-29,ATM_0023,Kuwait City,1020.38,40,14.0,2,2020-02-29,false
2020-02-29,ATM_0104,Farwaniya,906.84,33,20.0,4,2020-02-29,false
2020-02-29,ATM_0117,Kuwait City,1119.68,31,16.19,2,2020-02-29,false
2020-02-29,ATM_0165,Kuwait City,761.99,28,0.0,0,2020-02-29,false
2020-02-29,ATM_0171,Kuwait City,1009.4,33,26.7,4,2020-02-29,false
2020-02-29,ATM_0225,Farwaniya,935.06,34,7.43,1,2020-02-29,false
2020-02-29,ATM_0249,Ahmadi,1038.11,38,17.73,3,2020-02-29,false
2020-03-01,ATM_0104,Farwaniya,1118.98,34,21.25,2,2020-03-01,false
2020-03-01,ATM_0117,Kuwait City,1211.98,41,38.85,5,2020-03-01,false
2020-03-01,ATM_0171,Kuwait City,1354.12,45,16.8,3,2020-03-01,false
2020-03-01,ATM_0225,Farwaniya,1040.53,38,10.13,1,2020-03-01,false
2020-03-01,ATM_0230,Ahmadi,1341.68,46,51.85,5,2020-03-01,false
2020-03-01,ATM_0249,Ahmadi,787.76,31,11.07,2,2020-03-01,false
2020-03-02,ATM_0023,Kuwait City,1062.61,41,16.49,2,2020-03-02,false
2020-03-02,ATM_0104,Farwaniya,1476.75,50,26.11,3,2020-03-02,false
2020-03-02,ATM_0117,Kuwait City,1127.16,33,14.53,2,2020-03-02,false
2020-03-02,ATM_0165,Kuwait City,789.01,27,5.0,1,2020-03-02,false
2020-03-02,ATM_0171,Kuwait City,1166.59,36,30.05,4,2020-03-02,false
2020-03-02,ATM_0225,Farwaniya,727.64,29,5.0,1,2020-03-02,false
2020-03-02,ATM_0230,Ahmadi,1659.21,52,41.62,4,2020-03-02,false
2020-03-02,ATM_0249,Ahmadi,898.57,37,16.48,2,2020-03-02,false
2020-03-03,ATM_0023,Kuwait City,1135.98,46,24.16,4,2020-03-03,false
2020-03-03,ATM_0104,Farwaniya,1217.18,41,20.18,3,2020-03-03,false
2020-03-03,ATM_0117,Kuwait City,1305.11,41,32.57,4,2020-03-03,false
2020-03-03,ATM_0165,Kuwait City,780.8,27,15.23,3,2020-03-03,false
2020-03-03,ATM_0171,Kuwait City,928.57,34,17.47,3,2020-03-03,false
2020-03-03,ATM_0216,Hawalli,969.01,37,16.62,1,2020-03-03,false
