dt,atm_id,region,starting_cash_kwd,withdrawn_kwd,deposited_kwd,replenished_kwd,ending_cash_kwd,cashout_flag,notes
2020-01-26,ATM_0171,Kuwait City,66295.16,1169.81,11.07,0.0,65756.4,0,
2020-01-26,ATM_0230,Ahmadi,32789.47,1485.32,31.85,0.0,31422.61,0,
2020-01-26,ATM_0249,Ahmadi,38219.47,1159.35,10.0,0.0,36787.5,0,
2020-01-27,ATM_0023,Kuwait City,46382.68,1295.35,22.91,0.0,45746.56,0,
2020-01-27,ATM_0104,Farwaniya,61099.25,1477.25,34.26,0.0,59146.38,0,
2020-01-27,ATM_0165,Kuwait City,45491.51,863.31,32.72,0.0,44320.67,0,
2020-01-27,ATM_0171,Kuwait City,65756.4,1025.41,27.49,0.0,65274.86,0,
2020-01-27,ATM_0230,Ahmadi,31422.61,1573.51,38.22,0.0,29961.43,0,
2020-01-27,ATM_0249,Ahmadi,36787.5,1291.69,15.62,0.0,35372.61,0,
2020-01-28,ATM_0023,Kuwait City,45746.56,1143.59,14.22,0.0,44125.58,0,
2020-01-28,ATM_0104,Farwaniya,59146.38,1219.29,10.0,0.0,57906.87,0,
2020-01-28,ATM_0165,Kuwait City,44320.67,694.98,17.84,0.0,43184.65,0,
2020-01-28,ATM_0171,Kuwait City,65274.86,871.35,10.0,0.0,63962.82,0,
2020-01-28,ATM_0230,Ahmadi,29961.43,1404.02,27.47,0.0,28570.42,0,
2020-01-28,ATM_0249,Ahmadi,35372.61,1298.45,30.11,0.0,33698.77,0,
2020-01-29,ATM_0023,Kuwait City,44125.58,1566.16,15.59,0.0,43163.68,0,
2020-01-29,ATM_0104,Farwaniya,57906.87,1248.14,17.33,0.0,56284.1,0,
2020-01-29,ATM_0165,Kuwait City,43184.65,970.85,6.16,0.0,42138.33,0,
2020-01-29,ATM_0171,Kuwait City,63962.82,1018.81,10.0,0.0,63675.95,0,
2020-01-29,ATM_0230,Ahmadi,28570.42,1550.72,20.72,0.0,27258.52,0,
2020-01-29,ATM_0249,Ahmadi,33698.77,1061.06,30.09,0.0,32206.37,0,
2020-01-30,ATM_0023,Kuwait City,43163.68,1062.41,10.0,0.0,42698.93,0,
2020-01-30,ATM_0104,Farwaniya,56284.1,698.88,0.0,0.0,54983.95,0,
2020-01-30,ATM_0165,Kuwait City,42138.33,908.48,17.0,0.0,41450.74,0,
2020-01-30,ATM_0171,Kuwait City,63675.95,875.64,10.0,0.0,61972.88,0,
2020-01-30,ATM_0230,Ahmadi,27258.52,1129.64,23.32,0.0,26179.2,0,
2020-01-30,ATM_0249,Ahmadi,32206.37,950.6,20.87,0.0,31265.37,0,
2020-01-31,ATM_0023,Kuwait City,42698.93,1401.9,15.91,0.0,41075.73,0,
2020-01-31,ATM_0104,Farwaniya,54983.95,1371.78,8.17,0.0,54224.82,0,
2020-01-31,ATM_0165,Kuwait City,41450.74,1214.01,15.52,0.0,40463.31,0,
2020-01-31,ATM_0171,Kuwait City,61972.88,1008.97,20.0,0.0,61330.44,0,
2020-01-31,ATM_0230,Ahmadi,26179.2,993.35,20.48,0.0,25093.92,0,
2020-01-31,ATM_0249,Ahmadi,31265.37,1247.0,17.39,0.0,30245.42,0,
2020-02-01,ATM_0023,Kuwait City,41075.73,1008.01,15.81,0.0,39556.02,0,
2020-02-01,ATM_0104,Farwaniya,54224.82,1553.13,15.77,0.0,52054.81,0,
2020-02-01,ATM_0165,Kuwait City,40463.31,917.99,13.49,0.0,40091.68,0,
2020-02-01,ATM_0171,Kuwait City,61330.44,970.45,21.18,0.0,59682.67,0,
2020-02-01,ATM_0230,Ahmadi,25093.92,1405.25,21.49,0.0,23628.79,0,
2020-02-01,ATM_0249,Ahmadi,30245.42,989.55,28.97,0.0,29594.0,0,
2020-02-02,ATM_0023,Kuwait City,39556.02,1319.97,9.31,0.0,38627.95,0,
2020-02-02,ATM_0104,Farwaniya,52054.81,1192.29,23.97,0.0,50889.49,0,
2020-02-02,ATM_0165,Kuwait City,40091.68,983.25,5.0,0.0,39581.89,0,
2020-02-02,ATM_0171,Kuwait City,59682.67,724.45,5.0,0.0,58436.34,0,
2020-02-02,ATM_0230,Ahmadi,23628.79,1553.27,45.29,0.0,22224.53,0,
2020-02-02,ATM_0249,Ahmadi,29594.0,865.07,5.0,0.0,29050.0,0,
2020-02-03,ATM_0023,Kuwait City,38627.95,1059.05,5.0,0.0,37743.15,0,
2020-02-03,ATM_0104,Farwaniya,50889.49,1313.8,41.3,0.0,48904.15,0,
2020-02-03,ATM_0165,Kuwait City,39581.89,956.0,5.0,0.0,38212.19,0,
2020-02-03,ATM_0171,Kuwait City,58436.34,844.51,18.74,0.0,57745.56,0,
2020-02-03,ATM_0230,Ahmadi,22224.53,1622.76,23.87,0.0,20445.46,0,
2020-02-03,ATM_0249,Ahmadi,29050.0,1505.0,28.8,0.0,27237.61,0,
2020-02-04,ATM_0023,Kuwait City,37743.15,1169.24,21.23,0.0,36830.33,0,
2020-02-04,ATM_0104,Farwaniya,48904.15,664.35,0.0,0.0,48845.55,0,
2020-02-04,ATM_0165,Kuwait City,38212.19,716.75,19.38,0.0,37372.81,0,
2020-02-04,ATM_0171,Kuwait City,57745.56,913.63,22.25,0.0,56495.33,0,
2020-02-04,ATM_0230,Ahmadi,20445.46,1483.26,8.72,0.0,18825.58,0,
2020-02-04,ATM_0249,Ahmadi,27237.61,1149.39,25.63,0.0,25830.41,0,
2020-02-05,ATM_0023,Kuwait City,36830.33,1303.87,29.86,0.0,35216.66,0,
2020-02-05,ATM_0104,Farwaniya,48845.55,986.45,7.32,0.0,48204.33,0,
2020-02-05,ATM_0165,Kuwait City,37372.81,1096.99,38.34,0.0,36111.5,0,
2020-02-05,ATM_0171,Kuwait City,56495.33,1240.9,46.26,0.0,55174.49,0,
2020-02-05,ATM_0230,Ahmadi,18825.58,1321.55,10.68,0.0,17732.44,0,
2020-02-05,ATM_0249,Ahmadi,25830.41,1339.74,24.04,0.0,24155.9,0,
2020-02-06,ATM_0023,Kuwait City,35216.66,1016.89,36.44,0.0,33777.54,0,
2020-02-06,ATM_0104,Farwaniya,48204.33,1335.85,28.18,0.0,46977.34,0,
2020-02-06,ATM_0165,Kuwait City,36111.5,855.66,15.0,0.0,35791.09,0,
2020-02-06,ATM_0171,Kuwait City,55174.49,911.61,5.0,0.0,53828.14,0,
2020-02-06,ATM_0230,Ahmadi,17732.44,1508.87,25.0,0.0,16320.73,0,
2020-02-06,ATM_0249,Ahmadi,24155.9,863.39,20.11,0.0,23138.14,0,
2020-02-07,ATM_0023,Kuwait City,33777.54,899.35,15.0,0.0,32673.81,0,
2020-02-07,ATM_0104,Farwaniya,46977.34,1252.71,21.58,0.0,45150.31,0,
2020-02-07,ATM_0165,Kuwait City,35791.09,671.75,5.0,0.0,35237.82,0,
2020-02-07,ATM_0171,Kuwait City,53828.14,661.31,6.99,0.0,53146.16,0,
2020-02-07,ATM_0230,Ahmadi,16320.73,1201.23,24.61,0.0,15067.86,0,
2020-02-07,ATM_0249,Ahmadi,23138.14,887.04,13.83,0.0,22350.37,0,
2020-02-08,ATM_0023,Kuwait City,32673.81,935.85,16.15,0.0,32107.71,0,
2020-02-08,ATM_0104,Farwaniya,45150.31,1412.83,29.0,0.0,43116.64,0,
2020-02-08,ATM_0165,Kuwait City,35237.82,696.58,0.0,0.0,34357.2,0,
2020-02-08,ATM_0171,Kuwait City,53146.16,1314.88,10.77,0.0,52245.74,0,
2020-02-08,ATM_0230,Ahmadi,15067.86,1378.13,26.64,0.0,13809.03,0,
2020-02-08,ATM_0249,Ahmadi,22350.37,964.37,20.49,0.0,21550.76,0,
2020-02-09,ATM_0023,Kuwait City,32107.71,739.56,10.19,0.0,30920.91,0,
2020-02-09,ATM_0104,Farwaniya,43116.64,875.5,22.34,0.0,41734.59,0,
2020-02-09,ATM_0165,Kuwait City,34357.2,985.56,0.0,0.0,33068.69,0,
2020-02-09,ATM_0171,Kuwait City,52245.74,650.86,11.01,0.0,52357.29,0,
2020-02-09,ATM_0230,Ahmadi,13809.03,1285.17,20.95,0.0,12571.94,0,
2020-02-09,ATM_0249,Ahmadi,21550.76,991.51,20.19,0.0,20430.78,0,
2020-02-10,ATM_0023,Kuwait City,30920.91,1193.44,29.0,0.0,30035.53,0,
2020-02-10,ATM_0104,Farwaniya,41734.59,883.77,17.76,0.0,41391.71,0,
2020-02-10,ATM_0165,Kuwait City,33068.69,669.38,0.0,0.0,32127.97,0,
2020-02-10,ATM_0171,Kuwait City,52357.29,1174.67,10.0,0.0,51723.68,0,
2020-02-10,ATM_0230,Ahmadi,12571.94,1365.52,8.0,0.0,11103.71,0,
2020-02-10,ATM_0249,Ahmadi,20430.78,981.78,17.03,0.0,19492.19,0,
2020-02-11,ATM_0023,Kuwait City,30035.53,1204.83,31.17,0.0,28595.95,0,
2020-02-11,ATM_0104,Farwaniya,41391.71,1200.34,16.43,0.0,40481.69,0,
2020-02-11,ATM_0165,Kuwait City,32127.97,760.88,0.0,0.0,31364.41,0,
2020-02-11,ATM_0171,Kuwait City,51723.68,963.94,6.81,0.0,51201.58,0,
2020-02-11,ATM_0230,Ahmadi,11103.71,1473.35,38.72,0.0,9792.42,0,
2020-02-11,ATM_0249,Ahmadi,19492.19,1112.85,17.21,0.0,18283.4,0,
2020-02-12,ATM_0023,Kuwait City,28595.95,1036.96,10.6,0.0,27408.35,0,
2020-02-12,ATM_0104,Farwaniya,40481.69,987.91,10.0,0.0,39081.44,0,
2020-02-12,ATM_0165,Kuwait City,31364.41,874.14,83.53,0.0,30441.56,0,data_gap (estimated)
2020-02-12,ATM_0171,Kuwait City,51201.58,999.7,0.0,0.0,50935.85,0,
2020-02-12,ATM_0225,Farwaniya,58204.52,576.29,10.0,0.0,57152.81,0,
2020-02-12,ATM_0230,Ahmadi,9792.42,1652.51,308.76,0.0,8564.47,0,data_gap (estimated)
2020-02-12,ATM_0249,Ahmadi,18283.4,840.78,22.49,0.0,17363.69,0,
2020-02-13,ATM_0023,Kuwait City,27408.35,1001.47,10.0,0.0,26470.1,0,
2020-02-13,ATM_0104,Farwaniya,39081.44,1016.53,16.86,0.0,38423.91,0,
2020-02-13,ATM_0165,Kuwait City,30441.56,887.9,30.33,0.0,29733.31,0,
2020-02-13,ATM_0171,Kuwait City,50935.85,661.04,25.97,0.0,50201.42,0,
2020-02-13,ATM_0225,Farwaniya,57152.81,739.96,7.61,0.0,55995.62,0,
2020-02-13,ATM_0230,Ahmadi,8564.47,1224.03,43.72,0.0,7274.98,0,
2020-02-13,ATM_0249,Ahmadi,17363.69,1094.67,12.83,0.0,16244.65,0,
2020-02-14,ATM_0023,Kuwait City,26470.1,1050.71,5.0,0.0,25723.25,0,
2020-02-14,ATM_0104,Farwaniya,38423.91,1332.78,7.59,0.0,36942.48,0,
2020-02-14,ATM_0165,Kuwait City,29733.31,758.93,10.0,0.0,29385.73,0,
2020-02-14,ATM_0171,Kuwait City,50201.42,1304.12,41.88,0.0,48546.43,0,
2020-02-14,ATM_0225,Farwaniya,55995.62,1043.08,15.0,0.0,55171.74,0,
2020-02-14,ATM_0230,Ahmadi,7274.98,1368.92,34.95,0.0,5931.34,0,
2020-02-14,ATM_0249,Ahmadi,16244.65,1187.46,40.27,0.0,15049.44,0,
2020-02-15,ATM_0023,Kuwait City,25723.25,881.07,5.0,0.0,24885.8,0,
2020-02-15,ATM_0104,Farwaniya,36942.48,1000.1,11.59,0.0,36357.45,0,
2020-02-15,ATM_0165,Kuwait City,29385.73,843.95,13.51,0.0,28802.17,0,
2020-02-15,ATM_0171,Kuwait City,48546.43,871.11,21.53,0.0,48357.35,0,
2020-02-15,ATM_0225,Farwaniya,55171.74,597.91,14.02,0.0,55194.49,0,
2020-02-15,ATM_0230,Ahmadi,5931.34,1335.73,24.56,2430.0,6973.06,0,replenish
2020-02-15,ATM_0249,Ahmadi,15049.44,1113.43,16.46,0.0,13848.63,0,
2020-02-16,ATM_0023,Kuwait City,24885.8,1190.93,170.12,0.0,23907.71,0,data_gap (estimated)
2020-02-16,ATM_0104,Farwaniya,36357.45,867.6,5.0,0.0,35070.59,0,
2020-02-16,ATM_0165,Kuwait City,28802.17,553.09,5.0,0.0,28162.32,0,
2020-02-16,ATM_0171,Kuwait City,48357.35,935.18,5.0,0.0,47141.19,0,
2020-02-16,ATM_0225,Farwaniya,55194.49,672.61,28.68,0.0,53738.25,0,
2020-02-16,ATM_0230,Ahmadi,6973.06,1471.35,10.0,1530.0,7141.33,0,replenish
2020-02-16,ATM_0249,Ahmadi,13848.63,824.15,5.0,0.0,13032.22,0,
2020-02-17,ATM_0023,Kuwait City,23907.71,1092.85,21.52,0.0,23016.34,0,
2020-02-17,ATM_0104,Farwaniya,35070.59,1360.77,15.71,0.0,33443.14,0,
2020-02-17,ATM_0117,Kuwait City,47145.68,1028.9,8.99,0.0,45449.37,0,
2020-02-17,ATM_0165,Kuwait City,28162.32,658.19,5.0,0.0,27750.33,0,
2020-02-17,ATM_0171,Kuwait City,47141.19,857.6,23.54,0.0,46213.76,0,
2020-02-17,ATM_0225,Farwaniya,53738.25,395.08,0.0,0.0,52907.22,0,
2020-02-17,ATM_0230,Ahmadi,7141.33,1257.61,23.44,1060.0,6950.32,0,replenish
2020-02-17,ATM_0249,Ahmadi,13032.22,1145.23,31.1,0.0,12000.55,0,
2020-02-18,ATM_0023,Kuwait City,23016.34,1250.12,20.02,0.0,21918.52,0,
2020-02-18,ATM_0104,Farwaniya,33443.14,1461.24,34.43,0.0,31921.58,0,
2020-02-18,ATM_0117,Kuwait City,45449.37,1332.96,32.97,0.0,44553.11,0,
2020-02-18,ATM_0165,Kuwait City,27750.33,611.63,36.49,0.0,26791.64,0,
2020-02-18,ATM_0171,Kuwait City,46213.76,754.43,0.0,0.0,45088.63,0,
2020-02-18,ATM_0216,Hawalli,60750.51,840.95,11.61,0.0,60567.82,0,
2020-02-18,ATM_0225,Farwaniya,52907.22,1051.39,25.46,0.0,51285.98,0,
2020-02-18,ATM_0230,Ahmadi,6950.32,1639.95,24.38,1640.0,6977.34,0,replenish
2020-02-18,ATM_0249,Ahmadi,12000.55,806.66,11.2,0.0,11157.49,0,
2020-02-19,ATM_0023,Kuwait City,21918.52,1114.57,16.85,0.0,21038.68,0,
2020-02-19,ATM_0104,Farwaniya,31921.58,1055.93,8.12,0.0,30825.02,0,
2020-02-19,ATM_0117,Kuwait City,44553.11,1046.9,5.0,0.0,43519.64,0,
2020-02-19,ATM_0165,Kuwait City,26791.64,758.27,0.0,0.0,26058.87,0,
2020-02-19,ATM_0171,Kuwait City,45088.63,966.97,5.0,0.0,44697.49,0,
2020-02-19,ATM_0216,Hawalli,60567.82,1074.48,33.71,0.0,60061.29,0,
2020-02-19,ATM_0225,Farwaniya,51285.98,972.4,10.0,0.0,49957.95,0,
2020-02-19,ATM_0230,Ahmadi,6977.34,1568.98,16.78,1490.0,6981.09,0,replenish
2020-02-19,ATM_0249,Ahmadi,11157.49,1046.15,27.19,0.0,10020.7,0,
2020-02-20,ATM_0023,Kuwait City,21038.68,1039.08,21.04,0.0,19907.64,0,
2020-02-20,ATM_0104,Farwaniya,30825.02,1115.67,27.49,0.0,29411.74,0,
2020-02-20,ATM_0117,Kuwait City,43519.64,1199.13,23.91,0.0,42474.01,0,
2020-02-20,ATM_0165,Kuwait City,26058.87,1101.13,23.9,0.0,25313.17,0,
2020-02-20,ATM_0171,Kuwait City,44697.49,1152.37,25.46,0.0,43749.41,0,
2020-02-20,ATM_0216,Hawalli,60061.29,1050.35,5.0,0.0,58452.61,0,
2020-02-20,ATM_0225,Farwaniya,49957.95,880.6,11.37,0.0,49131.89,0,
2020-02-20,ATM_0230,Ahmadi,6981.09,1556.04,42.76,1460.0,7016.9,0,replenish
2020-02-20,ATM_0249,Ahmadi,10020.7,1277.03,28.01,0.0,8644.72,0,
2020-02-21,ATM_0023,Kuwait City,19907.64,2462.6,23.54,0.0,17706.09,0,
2020-02-21,ATM_0104,Farwaniya,29411.74,1134.06,5.0,0.0,28220.39,0,
2020-02-21,ATM_0117,Kuwait City,42474.01,1013.1,17.62,0.0,41715.28,0,
2020-02-21,ATM_0165,Kuwait City,25313.17,1234.43,21.54,0.0,24048.34,0,
2020-02-21,ATM_0171,Kuwait City,43749.41,1158.85,18.67,0.0,43178.47,0,
2020-02-21,ATM_0216,Hawalli,58452.61,807.65,17.87,0.0,56923.39,0,
2020-02-21,ATM_0225,Farwaniya,49131.89,1008.92,22.38,0.0,48452.09,0,
2020-02-21,ATM_0230,Ahmadi,7016.9,1926.48,27.8,1900.0,6984.23,0,replenish
2020-02-21,ATM_0249,Ahmadi,8644.72,1353.21,22.64,0.0,7232.01,0,
2020-02-22,ATM_0023,Kuwait City,17706.09,916.69,10.0,0.0,17035.74,0,
2020-02-22,ATM_0104,Farwaniya,28220.39,1502.72,28.27,0.0,26912.73,0,
2020-02-22,ATM_0117,Kuwait City,41715.28,1710.52,46.93,0.0,40305.77,0,
2020-02-22,ATM_0165,Kuwait City,24048.34,863.26,13.85,0.0,23236.34,0,
2020-02-22,ATM_0171,Kuwait City,43178.47,1106.74,23.95,0.0,41942.77,0,
2020-02-22,ATM_0216,Hawalli,56923.39,1054.77,40.83,0.0,55086.46,0,
2020-02-22,ATM_0225,Farwaniya,48452.09,1284.75,23.87,0.0,47297.64,0,
2020-02-22,ATM_0230,Ahmadi,6984.23,2152.69,28.3,2260.0,7203.94,0,replenish
2020-02-22,ATM_0249,Ahmadi,7232.01,1128.02,15.58,0.0,6035.32,0,
2020-02-23,ATM_0023,Kuwait City,17035.74,1112.14,29.01,0.0,16059.15,0,
2020-02-23,ATM_0104,Farwaniya,26912.73,1613.57,30.4,0.0,25635.0,0,
2020-02-23,ATM_0117,Kuwait City,40305.77,1238.29,22.96,0.0,39040.76,0,
2020-02-23,ATM_0165,Kuwait City,23236.34,814.6,22.86,0.0,22609.56,0,
2020-02-23,ATM_0171,Kuwait City,41942.77,915.59,13.81,0.0,41276.98,0,
2020-02-23,ATM_0216,Hawalli,55086.46,976.43,37.53,0.0,54439.12,0,
2020-02-23,ATM_0225,Farwaniya,47297.64,959.98,10.69,0.0,47015.48,0,
2020-02-23,ATM_0230,Ahmadi,7203.94,1920.25,26.15,1890.0,7277.74,0,replenish
2020-02-23,ATM_0249,Ahmadi,6035.32,1156.73,21.77,0.0,4890.53,0,
2020-02-24,ATM_0023,Kuwait City,16059.15,1294.73,15.0,0.0,14582.02,0,
2020-02-24,ATM_0104,Farwaniya,25635.0,1398.16,20.0,0.0,24188.74,0,
2020-02-24,ATM_0117,Kuwait City,39040.76,1300.9,5.0,0.0,37917.04,0,
2020-02-24,ATM_0165,Kuwait City,22609.56,927.43,14.39,0.0,21806.21,0,
2020-02-24,ATM_0171,Kuwait City,41276.98,1085.18,25.71,0.0,40348.29,0,
2020-02-24,ATM_0216,Hawalli,54439.12,1186.53,5.0,0.0,53006.71,0,
2020-02-24,ATM_0225,Farwaniya,47015.48,851.71,10.0,0.0,46203.16,0,
2020-02-24,ATM_0230,Ahmadi,7277.74,2067.73,372.96,1650.0,7228.36,0,replenish; data_gap (estimated)
2020-02-24,ATM_0249,Ahmadi,4890.53,872.31,5.0,1240.0,5190.14,0,replenish
2020-02-25,ATM_0023,Kuwait City,14582.02,1761.37,35.44,0.0,12812.02,0,
2020-02-25,ATM_0104,Farwaniya,24188.74,1365.31,38.24,0.0,22842.44,0,
2020-02-25,ATM_0117,Kuwait City,37917.04,2016.12,42.38,0.0,35668.75,0,
2020-02-25,ATM_0165,Kuwait City,21806.21,1137.13,5.0,0.0,20946.8,0,
2020-02-25,ATM_0171,Kuwait City,40348.29,710.42,5.0,0.0,40133.11,0,
2020-02-25,ATM_0216,Hawalli,53006.71,1431.86,22.33,0.0,51222.16,0,
2020-02-25,ATM_0225,Farwaniya,46203.16,1480.75,10.0,0.0,45340.84,0,
2020-02-25,ATM_0230,Ahmadi,7228.36,2047.42,31.42,2130.0,7414.7,0,replenish
2020-02-25,ATM_0249,Ahmadi,5190.14,1577.4,34.66,1660.0,5371.74,0,replenish
2020-02-26,ATM_0023,Kuwait City,12812.02,1547.53,33.54,0.0,11397.46,0,
2020-02-26,ATM_0104,Farwaniya,22842.44,1316.19,32.77,0.0,21643.63,0,
2020-02-26,ATM_0117,Kuwait City,35668.75,1871.97,30.9,0.0,34059.72,0,
2020-02-26,ATM_0165,Kuwait City,20946.8,1097.27,11.99,0.0,19763.76,0,
2020-02-26,ATM_0171,Kuwait City,40133.11,1072.59,24.94,0.0,39468.46,0,
2020-02-26,ATM_0216,Hawalli,51222.16,1178.12,27.79,0.0,50563.35,0,
2020-02-26,ATM_0225,Farwaniya,45340.84,1045.41,5.0,0.0,44118.94,0,
2020-02-26,ATM_0230,Ahmadi,7414.7,1496.77,42.18,1370.0,7309.77,0,replenish
2020-02-26,ATM_0249,Ahmadi,5371.74,1516.0,21.87,1520.0,5320.97,0,replenish
2020-02-27,ATM_0023,Kuwait City,11397.46,1550.81,22.77,0.0,9786.88,0,
2020-02-27,ATM_0104,Farwaniya,21643.63,1094.25,15.86,0.0,20503.87,0,
